le granola;granola;Good Junkfood (D. Nouet, J. Schwob);;
pour;8 personnes;50 g;de beurre;Préchauffer le four à 140 °C.
prep;15 minutes;80 g;de cranberries;Déposer les noix et les amandes sur la plaque du four et les faire torréfier 10 minutes environ, en les mélangeant régulièrement pour qu’elles dorent de tous les côtés.
cuisson;15 minutes;200 g;de flocon d'avoine;Dans une saladier, verser les flocons d’avoine,  le mélange de noix torréfiées, les graine de courge, le kasha et les cranberries.
;;30 g;de graines de courge;Dans une casserole, faire chauffer le sirop d’érable, le miel et une pincée de sel jusqu’à ébullition.
;;3,5 cl;d'huile de noisette;Quelques minutes après, incorporer le beurre en petits morceaux, laisser fondre complètement puis ajouter l’huile de noisettes et mélanger.
;;30 g;de kasha de sarrasin;Verser directement dans le saladier et mélanger pour bien enrober l’ensemble des ingrédients.
;;50 g;de miel;Étaler la préparation sur une plaque de cuisson recouverte de papier sulfurisé.
;;150 g;de noix concassées (noix de pécan, noix, etc);Enfourner 45 minutes.
;;200 g;de sirop d'érable;
;;;;
les pains au lait;painaulait;Good Junkfood (D. Nouet, J. Schwob);;
pour;8 pièces;500 g;de farine;Chauffer le lait pour le tiédir et délayer la levure dans le lait tiède.
prep;20 minutes;15 cl;de lait demi-écrémé;Battre les œufs.
cuisson;15 minutes;1 sachet;de levure boulangère sèche;Dans la cuve du robot pétrisseur, verser la farine, le sucre, le sel, la levure délayée et les œufs battus. Commencer à faible vitesse puis augmenter jusqu'à ce que la pâte se décolle des bords et tape légèrement le fond.
repos;2 heures 30;3;œufs;Ajouter la purée d'amandes, et mélanger à nouveau jusqu'à ce qu'elle soit complètement absorbée.
;;120 g;de purée d'amandes;Déposer la pâte dans un bol, recouvrer d'un torchon humide ou d'un film alimentaire et laisser pousser pendant 2 heures.
;;10 g;de sel;Lorsque la pâte a bien poussé, la partager en 10 boules puis les étirer en les faisant rouler sous la paume pour former des petits rouleaux.
;;60 g;de sucre de fleur de coco brun;Les déposer sur une plaque de cuisson légèrement huilée et les badigeonner de lait froid au pinceau.
;;;;Laisser pousser encore 30 minutes.
;;;;Badigeonner une nouvelle fois puis enfourner pendant 15 minutes à 170 °C.
;;;;
le pain perdu;painperdu;Good Junkfood (D. Nouet, J. Schwob);;
pour;4 personnes;1 pincée;de canelle;Battre l’œuf.
prep;20 minutes;30 g;d'huile de coco;Mélanger l’œuf battu, le lait, le sucre et la cannelle dans un plat.
cuisson;15 minutes;20 cl;de lait écrémé;Laisser imbiber les tranches de pain dans le mélange.
;;1;œuf;Faire chauffer l'huile de coco dans un poêle.
;;4 tranches;de pain complet rassis;Ajouter les tranches de pain.
;;1 c. à s.;de sucre de fleur de coco brun;Faire dorer des 2 côtés.
;;;;
les pancakes;pancake;Jow;;
pour;4 personnes;80 g;de beurre;Dans un récipient, ajouter la farine, la levure, le sucre et une pincée de sel.
prep;15 minutes;320 g;de farine;Séparer les blancs des jaunes.
cuisson;4 minutes;40 cl;de lait;Incorporer le lait dans les jaunes et mélanger.
;;1 sachet;de levure chimique;Ajouter le mélange œuf-lait aux ingrédients secs (farine, levure, sucre, sel) et mélanger jusqu’à l’obtention d’une pâte lisse.
;;4;œufs;Ajouter le beurre fondu et mélanger.
;;1 c. à s.;de sucre en poudre;Monter les blancs en neige avec une pincée de sel.
;;;;Incorporer délicatement les blancs à la préparation à l’aide d’une spatule.
;;;;Dans une poêle chaude légèrement beurrée, à feu doux, ajouter une louche de pâte.
;;;;Retourner quand des bulles se forment à la surface de la pâte.
;;;;
la pâte à tartiner choco-noisette;patetartinerchoconoisette;Jow;;
pour;8 personnes;300 g;de chocolat à cuire;Placer les noisettes dans le mixeur et les mixer jusqu’à obtenir une poudre fine.
prep;10 minutes;40 cl;de crème liquide;Faire bouillir la crème avec le sucre jusqu’à ébullition puis couper le feu.
cuisson;5 minutes;4 cl;d'huile de tournesol;Couper le chocolat très finement.
;;250 g;de noisette;Ajouter le chocolat dans le mixeur, verser la crème chaude puis mixer.
;;50 g;de sucre en poudre;Une fois le mélange homogène, ajouter l’huile, une pincée de sel et mélanger.
;;;;Placer dans un pot et conserver au réfrigérateur.
